Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share High,Commonwealth of the Northern Mariana Islands,Other,0,102
Share,Commonwealth of the Northern Mariana Islands,P.1,0,102
Share Low,Commonwealth of the Northern Mariana Islands,P.1,0,102
Share High,Commonwealth of the Northern Mariana Islands,P.1,0,102
Share,Commonwealth of the Northern Mariana Islands,P.2,0,102
Share Low,Commonwealth of the Northern Mariana Islands,P.2,0,102
Share High,Commonwealth of the Northern Mariana Islands,P.2,0,102
Share,Connecticut,AY.1 (Delta),0,"2,185"
Share Low,Connecticut,AY.1 (Delta),0,"2,185"
Share High,Connecticut,AY.1 (Delta),0,"2,185"
Share,Connecticut,AY.2 (Delta),0,"2,185"
Share Low,Connecticut,AY.2 (Delta),0,"2,185"
Share High,Connecticut,AY.2 (Delta),0,"2,185"
Share,Connecticut,B.1.1.7 (Alpha),0,"2,185"
Share Low,Connecticut,B.1.1.7 (Alpha),0,"2,185"
Share High,Connecticut,B.1.1.7 (Alpha),0,"2,185"
Share,Connecticut,B.1.1.529 (Omicron),0.904203773,"2,185"
Share Low,Connecticut,B.1.1.529 (Omicron),0.815249443,"2,185"
Share High,Connecticut,B.1.1.529 (Omicron),0.959575713,"2,185"
Share,Connecticut,B.1.351,0,"2,185"
Share Low,Connecticut,B.1.351,0,"2,185"
Share High,Connecticut,B.1.351,0,"2,185"
Share,Connecticut,B.1.427/429,0,"2,185"
Share Low,Connecticut,B.1.427/429,0,"2,185"
Share High,Connecticut,B.1.427/429,0,"2,185"
Share,Connecticut,B.1.525,0,"2,185"
Share Low,Connecticut,B.1.525,0,"2,185"
Share High,Connecticut,B.1.525,0,"2,185"
Share,Connecticut,B.1.526 (Iota),0,"2,185"
Share Low,Connecticut,B.1.526 (Iota),0,"2,185"
Share High,Connecticut,B.1.526 (Iota),0,"2,185"
Share,Connecticut,B.1.617.1,0,"2,185"
Share Low,Connecticut,B.1.617.1,0,"2,185"
Share High,Connecticut,B.1.617.1,0,"2,185"
Share,Connecticut,B.1.617.2 (Delta),0.090249866,"2,185"
